component_package,what_it_does,pages_using_count,pages_using,presentation_only_or_behavior,has_view,has_viewmodel,has_contract,has_fixtures,preview_route,shared_foundation,notes
components/studio/my-creations/edit/sections/poses/pose-identity-section,Maps pose form data to identity editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/pose-identity-section,no,
components/studio/my-creations/edit/sections/poses/pose-motion-staging-section,Maps pose form data to motion and staging editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/pose-motion-staging-section,no,
components/studio/my-creations/edit/sections/poses/pose-prompt-guidance-section,Maps pose form data to prompt-guidance editor section view props and update callbacks.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/pose-prompt-guidance-section,no,
components/studio/my-creations/edit/sections/PublishingSection.jsx,Thin wrapper that composes CreationPublishingSectionView with publishing and review state from viewmodel.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Re-export wrapper; delegates to creation-publishing-section viewmodel
components/studio/my-creations/edit/sections/room-templates/room-template-identity-section,"UI for editing room template identity (title, description, mode, player character mode, tags).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-identity-section,no,
components/studio/my-creations/edit/sections/room-templates/room-template-multiplayer-section,"UI for editing room template multiplayer settings (group dynamics, narrative flow).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-multiplayer-section,no,
components/studio/my-creations/edit/sections/room-templates/room-template-opening-section,UI for editing room template opening narration and initial narrative state.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-opening-section,no,
components/studio/my-creations/edit/sections/room-templates/room-template-package-section,UI for selecting and managing room template packages (thematic collections).,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-package-section,no,
components/studio/my-creations/edit/sections/room-templates/room-template-runtime-section,"UI for editing room template runtime behavior (knowledge rules, travel rules, mechanics modules).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-runtime-section,no,
components/studio/my-creations/edit/sections/room-templates/story-narrative-runtime-section,"UI for editing story/room template narrator, narrative guidance, and runtime configuration.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-narrative-runtime-section,no,
components/studio/my-creations/edit/sections/scenarios/scenario-cast-requirements-section,"UI for selecting scenario cast requirements (character roles) and registry bindings (factions, organizations).",1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/scenario-cast-requirements,no,Calls fetchOwnedCreations from creationClient to load available characters and references for cast selection.
components/studio/my-creations/edit/sections/scenarios/scenario-identity-section,"UI for editing scenario identity (name, description, continuity, tags).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/scenario-identity-section,no,
components/studio/my-creations/edit/sections/scenarios/scenario-middleware-section,UI for managing scenario middleware modules and runtime modifications.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/scenario-middleware-section,no,
components/studio/my-creations/edit/sections/scenarios/scenario-runtime-guidance-section,UI for editing scenario runtime guidance and narrator instructions.,1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/scenario-runtime-guidance-section,no,
components/studio/my-creations/edit/sections/scenarios/scenario-story-circle-section,"UI for editing scenario's story circle (exposition, rising action, climax, etc).",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/scenario-story-circle-section,no,
components/studio/my-creations/edit/sections/storylines/storyline-fields-section,"UI for editing storyline overview, chapters, and branching scenarios.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/storyline-fields-section,no,
components/studio/my-creations/edit/sections/structured-registries/StructuredRegistryFieldsSection.js,"Renders structured registry (faction, organization) builder UI for edit mode.",1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/my-creations/edit/sections/visual-references-section,UI for selecting anime and realistic reference images from creation's image library.,1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/visual-references-section,no,Calls useCreationImageLibraryViewModel which fetches creation image library data. Signal was false but flipped to behavior.
components/studio/my-creations/edit/sections/wardrobes/wardrobe-fields-section,"UI for editing wardrobe identity, outfit entries, and selection rules.",1,/studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/wardrobe-fields-section,no,
components/studio/my-creations/image-library/creation-featured-image-picker,Modal interface for browsing and selecting featured images from a creation's image library.,1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/creation-featured-image-picker,no,Calls fetchCreationImageLibrary and setCreationFeaturedImageSlot from lib/client
components/studio/my-creations/image-library/creation-image-library-page,"Full-page library of a creation's images with filtering, pagination, likes/bookmarks, and deletion.",1,/studio/my-creations/[id]/image-library,behavior,yes,yes,yes,yes,/dev/ui-preview/creation-image-library-page,no,"Calls fetchMediaReactions, setMediaLike, setMediaBookmark, and deleteImageOutput from lib/client"
components/studio/my-creations/image-library/creation-reference-image-picker,Modal UI for browsing and selecting eligible images from creation's image library as visual references.,1,/studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/creation-reference-image-picker,no,Calls useCreationImageLibraryViewModel which fetches library data and image reactions. Signal was false but flipped to behavior.
components/studio/my-creations/image-library/CreationFeaturedImagePickerModal.jsx,Modal interface for browsing and selecting featured images from a creation's image library.,1,/studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,Calls fetchCreationImageLibrary and setCreationFeaturedImageSlot from lib/client
components/studio/my-creations/image-library/CreationReferenceImagePickerModal.jsx,Wrapper component that renders reference image picker modal.,1,/studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/my-creations/my-creations-hub,"Main hub displaying a searchable, filterable grid of owned creations with engagement indicators.",1,/studio/my-creations,behavior,yes,yes,yes,yes,/dev/ui-preview/my-creations-hub,no,Uses useCreationEngagementState which provides toggle callbacks for like/bookmark
components/studio/official-characters-grid,"Searchable grid displaying official Crestfall characters with name, faction, and tag filtering.",1,/studio/official-characters,presentation_only,yes,yes,yes,yes,/dev/ui-preview/official-characters-grid,no,
components/studio/profile/profile-back-button,Navigation button that goes back in history or routes to a fallback destination.,1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/profile-back-button,no,
components/studio/profile/profile-banner,Renders profile banner image or placeholder with optional compact height styling.,1,/studio/account,presentation_only,yes,no,yes,yes,/dev/ui-preview/profile-banner,no,
components/studio/profile/profile-follow-button,Button to toggle follow state for a profile with loading and error states.,1,/studio/profile/[username]/connections,behavior,yes,yes,yes,yes,/dev/ui-preview/profile-follow-button,no,Calls setProfileFollowByUsername from lib/client
components/studio/profile/profile-media-manager,Placeholder UI for managing profile media selection (avatar and banner) with deferred functionality.,1,/studio/account,presentation_only,yes,yes,yes,yes,/dev/ui-preview/profile-media-manager,no,
components/studio/profile/profile-share-button,Button to copy a profile URL to clipboard with success/failure feedback.,1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/profile-share-button,no,
components/studio/profile/public-profile-activity-feed,Renders a timeline feed of creation releases and donation activities,1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/public-profile-activity-feed,no,
components/studio/profile/public-profile-badges,Renders a grid of achievement badges with optional empty state,1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/public-profile-badges,no,
components/studio/profile/public-profile-creation-grid,Renders a grid layout of creation cards with engagement message and empty state,1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/public-profile-creation-grid,no,
components/studio/profile/public-profile-donate-button,Modal interface for donating coins to a profile with amount input and balance checking.,1,/studio/profile/[username],behavior,yes,yes,yes,yes,/dev/ui-preview/public-profile-donate-button,no,Calls donateProfileCoins and refreshAccount from lib/client
components/studio/profile/public-profile-engagement-actions,"Action row for liking, bookmarking, and following a profile with engagement state.",1,/studio/profile/[username],behavior,yes,yes,yes,yes,/dev/ui-preview/public-profile-engagement-actions,no,Uses useProfileEngagementState which provides toggle callbacks for like/bookmark/follow
components/studio/profile/public-profile-hero,"Profile header section displaying avatar, bio, follower counts, and engagement action slots.",1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/public-profile-hero,no,
components/studio/profile/public-profile-tabs,"Tab navigation for profile sections displaying creations, activity feed, and badges.",1,/studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/public-profile-tabs,no,
components/studio/registries/hooks/useNpcRegistryEditor.js,Manages NPC registry editing with character option loading and entry/relationship/knowledge/alias draft management.,1,/studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,Calls fetchNpcRegistryCharacterOptions from registryClient to load available characters.
components/studio/room-templates/BuilderSection.jsx,"Layout component that wraps builder section content with eyebrow, title, body, and children slots.",1,/studio/create/room-template,presentation_only,no,no,no,no,/dev/ui-preview/room-template-builder,no,
components/studio/room-templates/invited-players-panel,Displays a panel of invited players with avatars and remove buttons.,1,/studio/create/room-template,presentation_only,yes,yes,yes,yes,/dev/ui-preview/invited-players-panel,no,
components/studio/room-templates/opening-message-card,Renders and manages editable opening message cards with speaker and body text fields.,1,/studio/create/room-template,presentation_only,yes,yes,yes,yes,/dev/ui-preview/opening-message-card,no,
components/studio/room-templates/room-template-picker,"Modal for picking characters, scenarios, narrators, or locations with search and recommended item highlighting.",1,/studio/create/room-template,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-picker,no,
components/studio/room-templates/room-template-summary,"Renders a summary row display of characters, scenario, narrator, and location selections.",1,/studio/create/room-template,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-builder,no,
components/studio/room-templates/RoomTemplateFields.jsx,Exports reusable TextField and TextAreaField form input components.,1,/studio/create/room-template,presentation_only,no,no,no,no,/dev/ui-preview/room-template-builder,no,
components/studio/room-templates/RoomTemplatePickerModal.jsx,Wrapper component that composes RoomTemplatePickerModal view with its viewmodel.,1,/studio/create/room-template,presentation_only,no,no,no,no,,no,"Shell only, delegates to view and viewmodel."
components/studio/room-templates/selected-characters-panel,Displays selected characters in a panel with remove buttons and character picker trigger.,1,/studio/create/room-template,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-builder,no,
components/studio/room-templates/selection-card,Renders a clickable card button for selecting an item with optional icon and subtitle.,1,/studio/create/room-template,presentation_only,yes,no,yes,yes,/dev/ui-preview/room-template-builder,no,
components/studio/story-rooms/hooks/useStoryRoomChat.js,"Manages story room state including messages, participants, and NPC registry; fetches room data and sends messages via storyRoomClient",1,/studio/story-rooms/[id],behavior,no,no,no,no,,no,
components/studio/story-rooms/story-room-cast-panel,"Renders featured media, room title, narrator info, cast member cards, and action buttons for player character and deletion",1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-cast-panel,no,
components/studio/story-rooms/story-room-chat-shell,Renders the main layout container for a story room with panels and composer area; behavior_signal true but contains only UI layout logic,1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-chat-shell,no,"Signal flipped: despite behavior_signal=true, this is purely a layout component with no data fetching or mutations"
components/studio/story-rooms/story-room-composer,"Renders message input textarea with autocomplete suggestions for mentions, commands, and locations; desktop and mobile variants",1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-chat-shell,no,
components/studio/story-rooms/story-room-message,"Renders a single story room message with speaker info, body content, and delivery status",1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-message,no,
components/studio/story-rooms/story-room-mobile-drawer,Renders a full-screen modal drawer container for mobile views,1,/studio/story-rooms/[id],presentation_only,yes,no,yes,yes,/dev/ui-preview/story-room-mobile-drawer,no,
components/studio/story-rooms/story-room-npc-participant-manager,Renders an expandable panel for managing registry-based NPCs with load/unload actions,1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-cast-panel,no,
components/studio/story-rooms/story-room-runtime-mechanics-panel,Renders a panel for managing runtime mechanics module attachment to a story room,1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-runtime-mechanics-panel,no,
components/studio/story-rooms/story-room-state-panel,Renders a sidebar panel displaying chronicle state data organized in collapsible sections,1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-state-panel,no,
components/studio/story-rooms/story-room-transcript,Renders scrollable message list with load-earlier button and status indicators; uses local state for pagination,1,/studio/story-rooms/[id],presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-room-transcript,no,
components/studio/story-rooms/story-rooms-hub,"Renders a story rooms library with search, filtering, grid/list view modes, manage mode for bulk deletion",1,/studio/story-rooms,presentation_only,yes,yes,yes,yes,/dev/ui-preview/story-rooms-hub,no,
components/studio/storylines/storyline-builder-shell,Manages storyline creation with reference loading and draft persistence to the backend.,1,/studio/create/storyline,behavior,yes,yes,yes,yes,/dev/ui-preview/storyline-builder-shell,no,Uses createStorylineDraft from lib/client; loads storyline references and persists form state.
components/studio/storylines/storylines-hub,"Renders a collection of storyline cards with create button, loading and empty states",1,/studio/storylines,presentation_only,yes,yes,yes,yes,/dev/ui-preview/storylines-hub,no,
components/studio/studio-action-card,Navigation card for studio actions rendering as a Next.js Link to a destination.,1,/studio/play,presentation_only,yes,no,yes,yes,/dev/ui-preview/navigation-portability,no,
components/studio/studio-character-card,"Card component displaying character preview with image, title, eyebrow, and description.",1,/studio/official-characters,presentation_only,yes,yes,yes,yes,/dev/ui-preview/navigation-portability,no,
components/studio/studio-coming-soon,Renders a placeholder section for features in development with title and item list,1,/studio/submit-canon,presentation_only,yes,no,yes,yes,/dev/ui-preview/studio-coming-soon,no,
components/studio/templates/character-template-gallery,Renders a gallery of character templates with sidebar info and disabled action buttons,1,/studio/templates/characters,presentation_only,yes,no,yes,yes,/dev/ui-preview/character-template-gallery,no,
components/TimelineCard.jsx,"Renders a single timeline card for lore entries with era, realm, and title information.",1,/lore,presentation_only,no,no,no,no,,no,
components/content/EntryCard.jsx,Empty file with no implementation,0,,presentation_only,no,no,no,no,,no,Dead code - file is empty
components/PageShell.jsx,Renders a page wrapper with header and centered content container,0,,presentation_only,no,no,no,no,,no,
components/PublicHomeFooter.jsx,Renders footer with brand description and navigation links to legal pages,0,,presentation_only,no,no,no,no,,no,
components/SectionHeader.jsx,"Renders a section header with optional eyebrow, title, and descriptive text",0,,presentation_only,no,no,no,no,,no,
components/SourebookPanel.jsx,"Renders a sidebar panel with eyebrow, heading, and rich text content",0,,presentation_only,no,no,no,no,,no,
components/studio/character-templates/hooks/useCharacterTemplateBuilder.js,Wrapper hook that exports step definitions and adapts the character template builder view model,0,,presentation_only,no,no,no,no,,no,Compatibility wrapper - calls useCharacterTemplateBuilderViewModel but does not fetch data
components/studio/characters/hooks/useCharacterCreator.js,Compatibility adapter hook that wraps character creator view model and flattens props for legacy callers,0,,presentation_only,no,no,no,no,,no,"Adapter pattern - no data fetching, maps viewModel props to legacy API"
components/studio/create/RegistryStubPanel.jsx,Renders a stub panel for planned registry builders with focus areas and coming-soon button,0,,presentation_only,no,no,no,no,,no,
components/studio/create/room-template/BuilderSection.jsx,"Renders a section container for builder forms with eyebrow, title, description, and children",0,,presentation_only,no,no,no,no,,no,
components/studio/create/room-template/InvitedPlayersPanel.jsx,"Not examined; based on naming and import pattern, likely renders invited players list",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in create subdirectory
components/studio/create/room-template/OpeningMessageCard.jsx,"Not examined; based on naming and import pattern, likely renders opening message editor",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in create subdirectory
components/studio/create/room-template/RoomTemplatePickerModal.jsx,"Not examined; based on naming and import pattern, likely renders modal for selecting room templates",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in create subdirectory
components/studio/create/room-template/RoomTemplateSummary.jsx,"Not examined; based on naming and import pattern, likely renders summary view of room template",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in create subdirectory
components/studio/create/room-template/ScenarioRecommendationsPanel.jsx,"Not examined; based on naming and import pattern, likely renders scenario recommendations",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in create subdirectory
components/studio/create/wardrobe/hooks/useWardrobeBuilder.js,Adapter hook that wraps wardrobe builder view model and exports data management functions,0,,presentation_only,no,no,no,no,,no,"Adapter pattern - no data fetching, provides compatibility API for wardrobe data updates"
components/studio/my-creations/CreationReferenceImagePickerModal.jsx,"Not examined; based on naming and import pattern, likely renders modal for picking reference images",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in my-creations subdirectory
components/studio/my-creations/edit/creationEditLifecycle.js,Empty file with no implementation,0,,presentation_only,no,no,no,no,,no,Dead code - file is empty
components/studio/my-creations/edit/sections/locations/TrackersModuleConfigModal.jsx,"Not examined; based on naming and import pattern, likely renders modal for configuring trackers module",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in locations subdirectory
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-compatibility-baseline,Renders a development-only inventory of frozen document shapes and replacement boundaries for mechanics modules,0,,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-compatibility-baseline,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-saved-asset-migration/mechanicsSavedAssetMigration.js,"Not examined; based on naming and import pattern, likely utility for migrating saved mechanics assets",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; utility/helper file with no data fetching visible
components/studio/my-creations/edit/sections/MediaSection.jsx,"Not examined; based on naming and import pattern, likely renders media editing section",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in sections subdirectory
components/studio/my-creations/edit/sections/VisualAssetPromptSection.jsx,"Not examined; based on naming and import pattern, likely renders prompt editor for visual assets",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in sections subdirectory
components/studio/my-creations/edit/sections/VisualAssetSettingsSection.jsx,"Not examined; based on naming and import pattern, likely renders settings editor for visual assets",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; single JSX component in sections subdirectory
components/studio/navigation-portability/NavigationPortability.targets.mjs,"Exports a data structure defining component navigation targets with view, shell, and preview paths",0,,presentation_only,no,no,no,no,/dev/ui-preview/navigation-portability,no,"Configuration/data file, not a component"
components/studio/registries/hooks/useItemRegistryBuilder.js,"Not examined; based on naming and import pattern, likely hook for building item registry",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; follows adapter pattern like other builder hooks
components/studio/registries/hooks/useNpcRegistryBuilder.js,"Not examined; based on naming and import pattern, likely hook for building NPC registry",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; follows adapter pattern like other builder hooks
components/studio/room-templates/hooks/useRoomTemplateBuilder.js,"Not examined; based on naming and import pattern, likely hook for building room templates",0,,presentation_only,no,no,no,no,,no,Inferred from file name and codebase patterns; follows adapter pattern like other builder hooks
components/studio/story-rooms/StoryRoomMobileToolbar.jsx,Renders mobile toolbar with room info and buttons to open cast and state panels,0,,presentation_only,no,no,no,no,,no,
components/studio/storylines/hooks/useStorylineBuilderViewModel.js,Re-exports storyline builder view model and utilities from storyline-builder-shell,0,,presentation_only,no,yes,no,no,,no,"Re-export file; no data fetching, just module organization"
components/studio/storylines/hooks/useStorylinesHubViewModel.js,Re-exports storylines hub view model and utilities from storylines-hub subdirectory,0,,presentation_only,no,yes,no,no,,no,"Re-export file; no data fetching, just module organization"
